Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Japolock,137256197,49005947,8535954,3652920,18169505,18647568,4,0,6,6,51,16,0,18,17,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,1,1,3,3,4,4,2,1,27,19,0,6,2,0,0,0,0,0
Foreigner,745483876,37974207,3108134,11835818,6862787,16167468,3,7,4,6,64,12,22,16,14,4,4,4,0,4,4,4,4,4,1,1,4,4,4,4,0,0,3,3,3,3,1,1,50,8,13,20,9,0,0,0,0,0
MINI xipokemastrix,242144976,26967064,2148453,4477264,6481352,13859995,2,2,2,6,25,8,2,2,13,4,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,2,3,4,1,1,12,11,1,0,0,0,0,0,0,0
WookieeWarrior,572892187,52688597,7923645,13774716,12108549,18881687,4,5,4,6,67,16,20,12,19,4,4,4,4,4,4,4,4,4,0,0,4,4,4,0,0,0,4,4,4,4,2,1,68,16,12,20,20,0,0,0,0,0
Deadly F A R T,736639474,28875446,3972264,1095273,11035108,12772801,4,0,6,5,50,16,0,18,16,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,1,1,3,3,4,4,2,0,38,2,30,0,6,1,0,0,0,1
SilentVader,667756347,61909082,8489617,16657786,18288888,18472791,4,7,6,6,72,16,22,18,16,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,2,1,60,17,2,30,11,1,0,0,0,1
MINI Zan Lucian,617569541,54752139,7599144,10741730,17702561,18708704,4,5,6,6,70,14,20,18,18,3,3,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,3,4,4,4,2,1,27,0,0,27,0,0,0,0,0,0
Sultan2309,938542548,44222066,7340780,9626895,11524668,15729723,4,5,4,6,69,16,20,16,17,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,4,4,4,1,1,50,20,0,30,0,0,0,0,0,0
Baxston Kane,473373554,38711532,7618161,10469667,3140562,17483142,4,5,2,6,59,15,20,8,16,3,4,4,4,4,4,4,4,4,0,0,4,4,0,0,0,0,2,3,4,4,2,1,4,0,1,2,1,0,0,0,0,0
JacenCaedus,634487631,54858704,3921183,14998186,17440725,18498610,4,7,6,6,73,16,21,18,18,4,4,4,4,4,4,4,4,4,0,1,4,4,4,4,1,1,3,4,4,4,2,1,69,1,30,16,22,0,0,0,0,0
SotDO,815682328,24146936,1698714,10440088,93698,11914436,2,5,0,5,41,7,20,0,14,3,4,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,1,3,4,4,2,0,30,1,12,0,17,0,0,0,0,0
JustinAlexander11,283842274,28186107,7770243,0,10308847,10107017,4,0,4,5,45,15,0,16,14,3,4,4,4,0,0,0,0,0,0,0,4,4,4,4,0,0,3,3,4,4,0,0,0,0,0,0,0,1,0,0,0,1
Dr N00b,436483225,43935372,3648202,4206115,18526835,17554220,4,1,6,6,49,15,0,18,16,3,4,4,4,0,0,0,0,0,0,0,4,4,4,4,1,1,3,4,4,4,0,1,9,0,6,1,2,0,0,0,0,0
Philo Beddoe,753225541,53796184,7571221,15341459,16958251,13925253,4,7,6,5,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,1,0,4,0,1,1,2,0,0,0,0,0
Loadage,268951863,41517314,7944179,133550,15689137,17750448,4,0,5,6,50,16,0,17,17,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,0,1,3,4,4,4,1,1,4,0,1,0,3,1,0,0,0,1
BladeBR,354754647,38046920,7997776,10849393,199799,18999952,4,5,0,6,53,15,20,0,18,3,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,3,4,4,4,2,1,6,0,0,2,4,0,0,0,0,0
Gryphix,997239157,39324471,1029561,9502699,10272028,18520183,1,5,4,6,54,4,16,16,18,4,0,0,0,4,4,4,0,4,0,0,4,4,4,4,0,0,3,4,4,4,2,1,2,0,0,0,2,0,0,0,0,0
Nom,884121445,58403577,8136113,16161892,17781764,16323808,4,7,6,5,73,16,22,18,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,2,0,35,0,30,0,5,0,0,0,0,0
Epsil0n Actual,933247321,26229573,8606431,115248,209450,17298444,4,0,0,6,32,16,0,0,16,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,1,8,1,0,1,6,0,0,0,0,0
BlackMamba,259921674,53318875,7113693,14564994,16180994,15459194,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,3,4,2,1,1,0,0,1,0,0,0,0,0,0
Robbie Brady,349451219,53234489,7964202,10790709,17342516,17137062,4,6,6,6,65,15,18,17,15,3,4,4,4,4,4,4,0,4,1,1,3,4,4,4,1,1,3,3,3,4,1,1,39,0,13,17,9,0,0,0,0,0
ṪѦ DerHesse1505,296684579,42550305,120546,13017914,10889370,18522475,0,7,4,6,57,0,22,16,19,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,0,0,4,4,4,4,2,1,34,0,3,30,1,0,0,0,0,0
Raion Ren,619572297,739111,138120,112507,488484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,13,0,0,0,0,0,0
MINI Azryl,932489599,37584619,134323,15633127,3522758,18294411,0,7,0,6,40,0,22,0,18,0,0,0,0,4,4,4,4,4,1,1,0,0,0,0,0,0,3,4,4,4,2,1,38,0,29,6,3,0,0,0,0,0
MarkKenoburger,513125742,23084115,1663887,1330101,9127410,10962717,2,1,4,5,43,7,4,16,16,3,4,0,0,4,0,0,0,0,0,0,4,4,4,4,0,0,3,3,4,4,2,0,1,0,0,1,0,0,0,0,0,0
Argarax,545871634,48875112,7752253,10323450,15498587,15300822,4,5,6,6,68,16,20,14,18,4,4,4,4,4,4,4,4,4,0,0,4,4,4,0,1,1,3,4,4,4,2,1,11,0,0,8,3,0,0,0,0,0
Tornado,975827772,23540542,6952687,112904,7844270,8630681,4,0,4,5,41,16,0,12,13,4,4,4,4,0,0,0,0,0,0,0,4,4,4,0,0,0,2,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0
PDXwing,442735849,39449963,136028,10569281,12973546,15771108,0,5,5,6,51,0,20,17,14,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,1,2,3,4,4,0,1,4,0,0,2,2,0,0,0,0,0
Dalu,569934839,34576065,3018023,5057766,8792700,17707576,3,4,5,6,63,12,16,17,18,4,4,4,0,4,4,4,4,0,0,0,4,4,4,4,0,1,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0
Savage1bat,732694944,12952171,127582,105264,105264,12614061,0,0,0,5,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,0,12,0,0,0,12,0,0,0,0,0
Shotwell,843553429,33770269,129180,9702905,10934493,13003691,0,5,4,5,46,0,14,16,16,0,0,0,0,4,4,0,0,4,1,1,4,4,4,4,0,0,2,4,4,4,2,0,9,0,4,0,5,0,0,0,0,0
Revanchist,852762117,10838284,122970,101831,1594137,9019346,0,0,1,5,15,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,2,3,3,1,0,8,0,0,0,8,0,0,0,0,0
TinyBubbles,716417922,29035051,130856,10430140,107270,18366785,0,5,0,6,38,0,20,0,18,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,3,4,4,4,2,1,12,0,0,0,12,0,0,0,0,0
Jables,996614779,23811841,122270,1555910,9886745,12246916,0,1,4,5,37,0,4,16,17,0,0,0,0,0,0,0,0,4,0,0,4,4,4,4,0,0,3,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0
Z Xm,435886464,25795735,128904,14736805,108093,10821933,0,7,0,5,34,0,21,0,13,0,0,0,0,4,4,4,4,4,1,0,0,0,0,0,0,0,2,2,3,4,2,0,10,0,8,0,2,0,0,0,0,0
Kaytee Glopio,798445437,18074935,121091,789481,109482,17054881,0,0,0,6,17,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,2,1,28,0,10,0,18,0,0,0,0,0
Hulkster,691769393,28579607,117470,3988364,10002917,14470856,0,3,4,6,38,0,12,16,10,0,0,0,0,4,4,0,0,4,0,0,4,4,4,4,0,0,2,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0
Chaunce,492994246,26452591,114908,10333661,109164,15894858,0,5,0,6,33,0,20,0,13,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0
Seeya,569523671,23034751,119332,14846903,99916,7968600,0,7,0,5,30,0,22,0,8,0,0,0,0,4,4,4,4,4,1,1,0,0,0,0,0,0,1,2,2,2,1,0,15,0,10,0,5,0,0,0,0,0
Jed1Mast3rDallas,484789943,15862014,119597,2526186,0,13216231,0,2,0,6,23,0,8,0,15,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0
