Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Wolfman314,144353549,31218970,115995,14660971,3139767,13302237,0,7,0,5,30,0,22,0,8,0,0,0,0,4,4,4,4,4,1,1,0,0,0,0,0,0,1,1,4,0,1,1,2,0,0,2,0,0,0,0,0,0
Masajj Vemtits,596537312,19310470,123788,145328,9263902,9777452,0,0,4,5,29,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,1,3,4,4,1,0,2,0,1,1,0,0,0,0,0,0
SloppySaberFlavor,671337993,20558193,123231,5163963,2638748,12632251,0,3,2,5,22,0,5,7,10,0,0,0,0,0,0,0,0,4,1,0,3,4,0,0,0,0,1,2,2,4,0,1,2,0,0,0,2,0,0,0,0,0
M1TTH,124849497,15125314,121457,92897,8289330,6621630,0,0,4,3,24,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
wamakima5004,556569861,25316551,103557,169076,9356765,15687153,0,0,4,6,31,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,3,4,4,1,1,2,0,2,0,0,0,0,0,0,0
Flywire,515621617,22536755,118070,10447935,2666824,9303926,0,5,0,3,22,0,16,0,6,0,0,0,0,2,4,4,4,2,0,0,0,0,0,0,0,0,2,3,0,0,1,0,10,0,2,5,3,1,0,0,0,1
Theflavorgreen,416984533,14553143,99436,5809592,2690957,5953158,0,3,2,5,22,0,9,7,6,0,0,0,0,4,4,0,0,0,1,0,3,4,0,0,0,0,1,2,3,0,0,0,2,0,2,0,0,0,0,0,0,0
TWill88,494485598,20418405,116639,96985,6085026,14119755,0,0,4,6,28,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,0
Bitz Maidenhell,589218854,16305555,116218,135457,8930824,7123056,0,0,4,5,24,0,0,15,9,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
joker,976597667,18651559,119688,91978,6081089,12358804,0,0,4,6,28,0,0,16,12,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0
MINI Zeratoark,552854579,10330528,127475,0,112368,10090685,0,0,0,4,12,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0
