Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
ExcellentNut,946916445,39462780,8337913,10870602,7266686,12987579,4,5,4,5,69,16,20,16,17,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,4,4,4,2,0,45,8,3,28,6,0,0,0,0,0
á¹ªÑ¦ DerHesse1505,296684579,45218830,1359460,11642789,14971566,17245015,1,7,6,6,61,4,22,18,17,4,0,0,0,4,4,4,4,4,1,1,4,4,4,4,1,1,3,3,4,4,2,1,67,15,3,29,20,0,0,0,0,0
Tommyboy85,929389526,49646432,7726089,15463223,15571924,10885196,4,7,6,5,68,16,22,17,13,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,1,1,2,4,4,2,0,57,4,29,20,4,0,0,0,0,0
ilekkund,214848174,50071250,8277195,14384973,14068280,13340802,4,5,4,5,69,16,20,16,17,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,4,4,4,2,0,33,12,10,0,11,0,0,0,0,0
ilekkund2,148163689,38725845,6804296,9995055,11399247,10527247,4,3,4,2,48,16,12,15,5,4,4,4,4,4,4,0,0,4,0,0,3,4,4,4,0,0,4,0,0,0,0,1,41,13,15,0,13,0,0,0,0,0
Robbie Brady,349451219,43945655,8118523,1005574,17587379,17234179,4,0,6,6,49,16,0,18,15,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,1,1,2,3,3,4,2,1,54,0,30,0,24,0,0,0,0,0
JustinAlexander11,283842274,56399924,7867272,15391978,17008976,16131698,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,4,4,1,1,0,0,0,0,0,1,0,0,0,1
Zhil Axfow,826592934,52416588,6569534,15139874,16359100,14348080,3,7,6,6,64,12,22,17,13,4,4,4,0,4,4,4,4,4,1,1,3,4,4,4,1,1,2,3,3,4,0,1,33,0,9,21,3,0,0,0,0,0
wamakima5004,556569861,21466410,3825843,6480288,3083780,8076499,4,5,2,4,54,16,20,8,10,4,4,4,4,4,4,4,4,4,0,0,4,4,0,0,0,0,1,1,4,4,0,0,5,0,0,0,5,0,0,0,0,0
Loadage,268951863,58276359,7767330,15522248,17136488,17850293,4,7,6,6,73,16,22,18,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,4,4,4,2,1,28,1,4,19,4,2,0,0,0,2
Flywire,515621617,13770253,163448,57511,2796731,10752563,0,0,0,4,9,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,1,0,8,2,2,1,3,1,0,0,0,1
MINI xipokemastrix,242144976,37043857,6467552,8166083,8857873,13552349,4,5,4,6,62,16,18,16,12,4,4,4,4,4,4,4,4,2,0,0,4,4,4,4,0,0,1,1,4,4,1,1,16,0,4,5,7,1,0,0,0,1
Savage1bat,732694944,36175165,1994952,5794333,10561323,17824557,2,0,4,6,40,8,0,16,16,4,4,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,3,3,4,4,1,1,36,0,24,3,9,0,0,0,0,0
Wolfman314,144353549,33890536,7169092,2769421,12517549,11434474,4,2,4,4,43,15,8,15,5,3,4,4,4,4,0,0,0,4,0,0,3,4,4,4,0,0,2,2,0,0,0,1,3,0,0,1,2,0,0,0,0,0
Romules,178158547,52291758,8628269,15611919,18300452,9751118,4,6,6,3,64,16,21,18,9,4,4,4,4,4,4,4,4,4,1,0,4,4,4,4,1,1,4,4,0,0,0,1,9,1,0,8,0,1,0,0,0,1
Nom,884121445,58317200,8016789,14069068,17583003,18648340,4,5,6,6,72,16,20,18,18,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,3,4,4,4,2,1,61,0,30,1,30,0,0,0,0,0
Stargun inoza,992275427,54373258,7373534,14932483,16551691,15515550,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0
OttoVonGens,994659641,53165098,7931934,16173638,10893597,18165929,4,7,4,6,70,15,22,16,17,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,3,4,4,4,1,1,54,0,30,14,10,0,0,0,0,0
Tornado,975827772,38955858,6802217,9358217,9042217,13753207,4,5,4,6,65,16,20,16,13,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,2,2,4,4,0,1,0,0,0,0,0,0,0,0,0,0
MINI Stewabob,552522334,23592303,6316516,2532543,2970723,11772521,4,2,2,5,44,16,8,8,12,4,4,4,4,4,4,0,0,0,0,0,4,4,0,0,0,0,2,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0
Maxaron Lexilon,591283737,29363390,1007863,6037656,9341395,12976476,1,5,4,6,47,4,19,15,9,4,0,0,0,3,4,4,4,4,0,0,3,4,4,4,0,0,1,2,2,3,0,1,4,0,0,0,4,2,0,0,0,2
Baxston Kane,473373554,56813852,7790135,15500853,17121678,16401186,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,3,4,2,1,1,0,0,0,1,0,0,0,0,0
Jed1Mast3rDallas,484789943,16240437,939946,3909958,1505926,9884607,1,3,1,5,33,4,12,4,13,4,0,0,0,4,4,0,0,4,0,0,4,0,0,0,0,0,1,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0
Promethean,245711569,33437659,2911074,12469208,5637969,12419408,3,5,4,4,59,12,20,15,12,4,4,4,0,4,4,4,4,4,0,0,3,4,4,4,0,0,3,3,4,0,2,0,3,0,2,0,1,0,0,0,0,0
Seeya,569523671,27191571,119332,9627287,9326995,8117957,0,5,4,5,45,0,20,16,9,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,1,2,2,3,1,0,4,0,0,0,4,0,0,0,0,0
Z Xm,435886464,23317752,6306144,108327,108327,16794954,2,0,0,6,23,8,0,0,15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,1,1,13,0,0,0,13,0,0,0,0,0
Shotwell,843553429,22811085,5388152,0,1084362,16338571,0,0,0,6,14,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,0,1,30,0,0,30,0,0,0,0,0,0
Masajj Vemtits,596537312,16430119,128459,2774877,112951,13413832,0,2,0,6,20,0,8,0,12,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,2,2,3,4,0,1,3,0,0,0,3,0,0,0,0,0
SloppySaberFlavor,671337993,22119637,123504,2405873,11974006,7616254,0,2,5,5,32,0,7,16,9,0,0,0,0,3,0,0,0,4,0,0,3,4,4,4,0,1,1,2,2,4,0,0,1,0,0,1,0,0,0,0,0,0
TinyBubbles,716417922,30722809,7736736,107254,9977630,12901189,4,0,4,5,49,16,0,16,17,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,0,0,3,4,4,4,2,0,20,0,0,0,20,0,0,0,0,0
Jables,996614779,16963760,113040,217503,95107,16538110,0,0,0,6,16,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,1,4,0,4,0,0,0,0,0,0,0
Guntha Arbos,248271439,47185056,120764,15436329,17105313,14522650,0,7,6,6,53,0,22,18,13,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,1,1,3,3,3,3,0,1,2,0,0,1,1,0,0,0,0,0
Chaunce,492994246,41725300,114908,15486929,9891179,16232284,0,7,4,6,52,0,22,16,14,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,0,0,2,2,4,4,1,1,5,0,0,0,5,0,0,0,0,0
Zlada14,825875376,41289776,121099,14734841,16350841,10082995,0,7,6,5,53,0,22,18,13,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,3,4,2,0,0,0,0,0,0,1,0,0,0,1
Bitz Maidenhell,589218854,24372657,117232,9818946,1734689,12701790,0,5,1,5,32,0,20,4,8,0,0,0,0,4,4,4,4,4,0,0,4,0,0,0,0,0,2,2,2,0,1,1,4,0,0,4,0,0,0,0,0,0
BigMacDbag,931355241,23695242,,9478594,0,14216648,,5,0,6,33,,20,0,13,0,0,0,0,4,4,4,4,4,0,0,0,0,0,0,0,0,2,2,3,4,1,1,11,,0,0,11,0,,0,0,0
MINI Zeratoark,552854579,11644846,,112434,0,11532412,,0,0,5,16,,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,1,0,0,,0,0,0,0,,0,0,0
M1TTH,124849497,4708205,,,150103,4558102,,,0,1,3,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,,,4,0,0,,,0,0
