Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 2750000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
ilekkund,214848174,51514105,13144206,15368706,12262859,10738334,4,5,5,1,51,14,18,15,4,3,4,4,3,0,3,4,4,4,3,0,3,3,4,4,1,4,0,0,0,0,0,42,10,14,7,11,2,1,0,0,1
ilekkund2,148163689,48864289,10713559,13505396,11239183,13406151,4,5,5,4,55,12,18,14,11,1,3,4,4,0,2,4,4,4,4,0,2,3,4,4,1,1,4,0,2,4,0,15,3,6,2,4,1,1,0,0,0
Raion Ren,619572297,48180721,8501952,11666359,16013330,11999080,4,2,5,2,37,9,8,13,7,1,4,0,4,0,4,4,0,0,0,0,2,2,4,4,1,3,4,0,0,0,0,16,7,0,7,2,0,0,0,0,0
Flywire,515621617,47145821,11781540,9447764,15498827,10417690,5,2,5,3,49,16,8,17,8,4,4,4,3,1,4,4,0,0,0,0,4,4,4,4,1,2,3,0,0,3,0,6,2,1,1,2,0,0,0,0,0
WookieeWarrior,572892187,59993710,12990599,14566444,16269116,16167551,4,5,5,5,66,16,18,16,16,4,4,4,4,0,3,3,4,4,4,0,3,4,4,4,1,3,4,4,1,4,0,70,30,20,19,1,0,0,0,0,0
Z Xm,435886464,53185822,12555504,10562872,15285868,14781578,4,2,5,5,47,14,7,13,13,2,4,4,4,0,3,4,0,0,0,0,1,3,4,4,1,2,3,3,1,4,0,17,6,5,0,6,0,0,0,0,0
Obi Won Sebroni,247341668,55817389,12055037,13703728,14684823,15373801,5,5,5,5,70,17,20,16,17,4,4,4,4,1,4,4,4,4,4,0,3,4,4,4,1,4,4,4,2,3,0,37,17,3,8,9,1,1,0,0,0
Kaytee Glopio,798445437,52272126,12723855,12316733,11085044,16146494,5,4,4,6,57,17,12,16,12,4,4,4,4,1,3,4,0,0,4,1,4,4,4,4,0,2,4,0,2,3,1,36,5,30,1,0,2,0,1,0,1
JacenCaedus,634487631,56716639,11908628,13606292,16434606,14767113,5,5,5,5,55,11,15,16,13,2,4,0,4,1,4,4,4,0,3,0,3,4,4,4,1,2,3,3,1,4,0,49,6,6,7,30,0,0,0,0,0
MarkKenoburger,513125742,54001574,10784572,13349600,14850201,15017201,5,5,5,5,69,15,20,17,17,4,4,4,2,1,4,4,4,4,4,0,4,4,4,4,1,4,4,4,2,3,0,2,1,0,0,1,0,0,0,0,0
TinyBubbles,716417922,49355054,9701371,14945861,5735375,13577396,4,5,4,5,66,16,19,11,20,4,4,4,4,0,3,4,4,4,4,0,3,4,0,4,0, ?, ?, ?, ?, ?, ?,12,4,0,4,4,0,0,0,0,0
OttoVonGens,994659641,61535314,13099255,16015114,15903788,16517157,4,5,5,5,62,14,20,13,15,2,4,4,4,0,4,4,4,4,4,0,4,4,0,4,1,3,3,4,2,3,0,35,30,0,5,0,0,0,0,0,0
Tornado,975827772,45480608,9543062,10684246,13467572,11785728,4,5,5,5,41,9,10,12,10,3,4,0,2,0,2,4,0,0,4,0,3,4,0,4,1,3,3,0,1,3,0,9,3,5,0,1,0,0,0,0,0
SotDO,815682328,51528059,9013425,11599657,15689816,15225161,4,3,5,5,51,12,10,15,14,1,4,4,3,0,4,4,0,0,2,0,3,3,4,4,1,3,3,4,2,2,0,31,12,14,1,4,0,0,0,0,0
Foreigner,745483876,56660314,12428053,13986246,15606510,14639505,5,5,5,4,57,13,16,14,14,4,4,0,4,1,1,4,4,4,3,0,2,3,4,4,1,3,4,4,0,3,0,58,11,13,27,7,1,1,0,0,0
Baxston Kane,473373554,58867668,13512275,14850648,16311103,14193642,5,5,5,5,63,17,19,16,11,4,4,4,4,1,4,4,4,4,3,0,3,4,4,4,1,2,4,0,2,3,0,0,0,0,0,0,0,0,0,0,0
Deadly F A R T,736639474,46046031,8023691,13076089,8538449,16407802,4,4,3,5,42,8,11,8,15,1,3,0,4,0,4,4,0,0,3,0,4,4,0,0,0,3,4,4,1,3,0,15,1,0,4,10,1,0,0,0,1
PDXwing,442735849,56011933,11402351,13775055,16627027,14207500,5,6,5,5,52,9,15,16,12,1,4,0,4,0,2,3,3,4,3,0,3,4,4,4,1,3,3,4,1,1,0,5,2,2,0,1,2,0,1,1,0
SilentVader,667756347,61891348,13930419,15421101,15964806,16575022,4,6,5,5,65,16,18,16,15,4,4,4,4,0,3,4,4,4,3,0,4,4,4,4,0,3,3,4,1,4,0,68,30,5,27,6,1,0,1,0,0
MINI Zan Lucian,617569541,60225335,12839189,14038506,16626570,16721070,5,5,5,5,62,14,16,16,16,2,4,4,3,1,3,3,4,4,2,0,3,4,4,4,1,3,4,4,2,3,0,17,14,0,2,1,0,0,0,0,0
BlackMamba,259921674,52303794,11319611,13870461,14105361,13008361,5,5,5,5,57,14,19,13,11,2,4,4,4,0,3,4,4,4,4,0,4,4,0,4,1,1,2,3,2,3,0,11,1,8,0,2,0,0,0,0,0
Sultan2309,938542548,45733680,10698957,12984600,11440834,10609289,4,5,5,5,54,15,19,12,8,3,4,4,4,0,3,4,4,4,4,0,4,4,0,4,0,2,4,0,2,0,0,23,14,3,6,0,0,0,0,0,0
Gryphix,997239157,57182004,11499243,14566681,16424394,14691686,5,5,5,4,56,10,18,16,12,4,4,0,1,1,4,4,4,4,2,0,3,4,4,4,1,3,4,0,2,3,0,1,1,0,0,0,0,0,0,0,0
Nom,884121445,58657996,13577151,13952601,16778176,14350068,5,4,5,5,59,16,15,16,12,4,4,4,3,1,4,4,4,0,3,0,3,4,4,4,1,2,3,3,1,3,0,15,1,11,0,3,0,0,0,0,0
Revanchist,852762117,56959389,12566937,13924356,15373985,15094111,5,5,5,5,68,17,19,16,16,4,4,4,4,1,4,4,4,4,3,0,3,4,4,4,1,4,4,4,1,3,0,7,2,2,0,3,1,1,0,0,0
JustinAlexander11,283842274,61326723,13440126,15253444,15710253,16922900,5,5,5,5,69,17,20,15,17,4,4,4,4,1,4,4,4,4,4,0,3,3,4,4,1,4,4,4,2,3,0,24,0,0,1,23,1,1,0,0,0
Ky Zeth,615713739,56648583,14123121,10903891,17228683,14392888,5,5,5,4,60,16,18,16,10,3,4,4,4,1,3,3,4,4,4,0,3,4,4,4,1,1,3,4,2,0,0,33,0,0,3,30,1,1,0,0,0
ExcellentNut,946916445,58157878,9275243,15930141,17795741,15156753,4,5,5,5,60,13,19,17,11,3,3,3,4,0,3,4,4,4,4,0,4,4,4,4,1,2,4,0,2,3,0,41,2,12,11,16,0,0,0,0,0
MINI xipokemastrix,242144976,49072929,11436702,12009217,14236760,11390250,5,5,5,5,60,17,17,16,10,4,4,4,4,1,3,4,4,4,2,0,3,4,4,4,1,1,3,4,2,0,0,38,0,1,30,7,1,1,0,0,0
Savage1bat,732694944,61611652,13759517,13899656,17663999,16288480,5,5,5,5,60,15,14,17,14,2,4,4,4,1,4,4,4,0,2,0,4,4,4,4,1,3,4,4,2,1,0,11,2,5,0,4,1,1,0,0,0
Shotwell,843553429,53118596,12674277,12958441,11840692,15645186,5,5,4,5,40,10,10,7,13,1,4,0,4,1,1,1,2,4,2,0,3,4,0,0,0,2,4,4,1,2,0,43,0,27,3,13,0,0,0,0,0
Hulkster,691769393,42333683,7752509,9129735,12462693,12988746,1,1,5,4,25,0,4,11,10,0,0,0,0,0,4,0,0,0,0,0,4,4,0,3,0,4,4,0,1,1,0,9,0,3,0,6,0,0,0,0,0
Zlada14,825875376,51326159,12072083,11707283,14914909,12631884,5,3,5,4,53,15,12,15,11,2,4,4,4,1,4,4,0,0,4,0,3,3,4,4,1,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
MINI Azryl,932489599,59982145,13422732,14362256,16235634,15961523,5,5,5,5,67,17,18,16,16,4,4,4,4,1,4,4,4,4,2,0,3,4,4,4,1,4,4,4,1,3,0,12,1,3,4,4,1,1,0,0,0
Argarax,545871634,50683081,12643345,13933449,7863578,16242709,5,5,4,5,66,16,18,16,16,3,4,4,4,1,3,4,4,4,3,0,4,4,4,4,0,2,4,4,2,4,0,10,3,1,6,0,0,0,0,0,0
Epsil0n Actual,933247321,61692540,12908857,14371970,16933511,17478202,5,5,5,5,58,12,15,15,16,4,4,0,3,1,2,3,4,4,2,0,2,4,4,4,1,4,4,4,2,2,0,40,0,5,30,5,1,0,0,0,1
Japolock,137256197,56847926,14332179,11596818,13698143,17220786,5,2,5,5,52,17,8,11,16,4,4,4,4,1,4,4,0,0,0,0,3,4,0,4,0,3,4,4,2,3,0,1,0,0,1,0,1,0,0,1,0
Chaunce,492994246,57583979,12418398,14580603,16126854,14458124,5,5,5,5,59,13,18,16,12,1,3,4,4,1,3,3,4,4,4,0,4,4,4,3,1,1,3,3,2,3,0,6,0,0,5,1,0,0,0,0,0
Jables,996614779,50831263,8829933,14631620,15973418,11396292,4,5,5,2,57,14,19,16,8,2,4,4,4,0,3,4,4,4,4,0,3,4,4,4,1,4,4,0,0,0,0,3,0,0,1,2,0,0,0,0,0
BladeBR,354754647,54215774,9481135,15586825,12118161,17029653,4,5,4,5,64,14,19,15,16,2,4,4,4,0,3,4,4,4,4,0,3,4,4,4,0,3,4,4,2,3,0,13,0,6,2,5,1,0,0,1,0
